# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.2971,4.2519,0.6247,0.6247
-0.3771,4.2919,0.6247,0.6247
-0.4571,4.3319,0.6247,0.6247
-0.5371,4.3719,0.6247,0.6247
-0.6171,4.4319,0.6335,0.6335
-0.6971,4.4719,0.6335,0.6335
-0.7771,4.5119,0.6000,0.6000
-0.8571,4.5519,0.5600,0.5600
-0.9371,4.5719,0.5412,0.5412
-1.0171,4.5919,0.5315,0.5315
-1.0971,4.6119,0.5251,0.5251
-1.1771,4.6119,0.5400,0.5400
-1.2571,4.6119,0.5356,0.5356
-1.3371,4.6119,0.5161,0.5161
-1.4171,4.6119,0.5030,0.5030
-1.4971,4.5919,0.4800,0.4800
-1.5771,4.5919,0.4800,0.4800
-1.6571,4.5919,0.4800,0.4800
-1.7371,4.5719,0.4614,0.4614
-1.8171,4.5519,0.4532,0.4532
-1.8971,4.5519,0.4758,0.4758
-1.9771,4.5319,0.4824,0.4824
-2.0571,4.5119,0.4909,0.4909
-2.1371,4.4919,0.5106,0.5106
-2.2171,4.4519,0.5213,0.5213
-2.2971,4.4119,0.5261,0.5261
-2.3771,4.3519,0.5325,0.5325
-2.4571,4.2719,0.5505,0.5505
-2.5371,4.1919,0.5353,0.5353
-2.5771,4.1119,0.5381,0.5381
-2.6371,4.0319,0.5325,0.5325
-2.6971,3.9519,0.5366,0.5366
-2.7571,3.8719,0.5378,0.5378
-2.8371,3.7919,0.5505,0.5505
-2.9171,3.7319,0.5403,0.5403
-2.9971,3.6919,0.5277,0.5277
-3.0771,3.6719,0.5083,0.5083
-3.1571,3.6319,0.5135,0.5135
-3.2371,3.5919,0.5315,0.5315
-3.3171,3.5719,0.5264,0.5264
-3.3971,3.5319,0.5456,0.5456
-3.4771,3.4919,0.5675,0.5675
-3.5571,3.4519,0.5551,0.5551
-3.6371,3.4119,0.5391,0.5391
-3.7171,3.3719,0.5277,0.5277
-3.7971,3.3319,0.5261,0.5261
-3.8771,3.2919,0.5277,0.5277
-3.9571,3.2519,0.5381,0.5381
-4.0371,3.1719,0.5229,0.5229
-4.1171,3.0919,0.5096,0.5096
-4.1771,3.0119,0.5083,0.5083
-4.2571,2.9319,0.4967,0.4967
-4.3171,2.8519,0.4882,0.4882
-4.3571,2.7719,0.4814,0.4814
-4.3971,2.6919,0.4758,0.4758
-4.4371,2.6119,0.4727,0.4727
-4.4771,2.5319,0.4646,0.4646
-4.5171,2.4519,0.4632,0.4632
-4.5571,2.3719,0.4546,0.4546
-4.5971,2.2919,0.4546,0.4546
-4.6371,2.2119,0.4503,0.4503
-4.6771,2.1319,0.4459,0.4459
-4.7171,2.0519,0.4546,0.4546
-4.7571,1.9719,0.4503,0.4503
-4.7971,1.8919,0.4459,0.4459
-4.8371,1.8119,0.4459,0.4459
-4.8771,1.7319,0.4459,0.4459
-4.9171,1.6519,0.4459,0.4459
-4.9571,1.5719,0.4385,0.4385
-4.9971,1.4919,0.4367,0.4367
-5.0171,1.4119,0.4280,0.4280
-5.0371,1.3319,0.4192,0.4192
-5.0371,1.2519,0.3948,0.3948
-5.0571,1.1719,0.3948,0.3948
-5.0771,1.0919,0.4016,0.4016
-5.0971,1.0119,0.4200,0.4200
-5.0971,0.9319,0.4200,0.4200
-5.1171,0.8519,0.4415,0.4415
