# x_m,y_m,w_tr_right_m,w_tr_left_m
0.5586,0.1232,0.6000,0.6000
0.5786,0.1232,0.6000,0.6000
0.5986,0.1232,0.6000,0.6000
0.6186,0.1232,0.6000,0.6000
0.6386,0.1232,0.6000,0.6000
0.6586,0.1232,0.6000,0.6000
0.6786,0.1432,0.6200,0.6200
0.6986,0.1432,0.6200,0.6200
0.7186,0.1432,0.6200,0.6200
0.7386,0.1432,0.6200,0.6200
0.7586,0.1632,0.6400,0.6400
0.7786,0.1632,0.6400,0.6400
0.7986,0.1632,0.6400,0.6400
0.8186,0.1832,0.6571,0.6571
0.8386,0.1832,0.6529,0.6529
0.8586,0.1832,0.6473,0.6473
0.8786,0.2032,0.6616,0.6616
0.8986,0.2032,0.6571,0.6571
0.9186,0.2232,0.6720,0.6720
0.9386,0.2232,0.6666,0.6666
0.9586,0.2432,0.6810,0.6810
0.9786,0.2432,0.6767,0.6767
0.9986,0.2432,0.6728,0.6728
1.0186,0.2432,0.6694,0.6694
1.0386,0.2632,0.6864,0.6864
1.0586,0.2632,0.6841,0.6841
1.0786,0.2632,0.6823,0.6823
1.0986,0.2832,0.7005,0.7005
1.1186,0.2832,0.6892,0.6892
1.1386,0.2832,0.6694,0.6694
1.1586,0.2832,0.6497,0.6497
1.1786,0.3032,0.6335,0.6335
1.1986,0.3032,0.6139,0.6139
1.2186,0.3232,0.5986,0.5986
1.2186,0.3432,0.6034,0.6034
1.2386,0.3632,0.5896,0.5896
1.2586,0.3832,0.5768,0.5768
1.2586,0.4032,0.5835,0.5835
1.2786,0.4232,0.5705,0.5705
1.2786,0.4432,0.5768,0.5768
1.2986,0.4632,0.5648,0.5648
1.2986,0.4832,0.5705,0.5705
1.3186,0.5032,0.5579,0.5579
1.3186,0.5232,0.5648,0.5648
1.3386,0.5432,0.5539,0.5539
1.3586,0.5632,0.5440,0.5440
1.3586,0.5832,0.5530,0.5530
1.3586,0.6032,0.5621,0.5621
1.3786,0.6232,0.5530,0.5530
1.3786,0.6432,0.5621,0.5621
1.3986,0.6632,0.5530,0.5530
1.4186,0.6832,0.5450,0.5450
1.4386,0.7032,0.5381,0.5381
1.4386,0.7232,0.5490,0.5490
1.4586,0.7432,0.5440,0.5440
1.4786,0.7632,0.5403,0.5403
1.4986,0.7832,0.5378,0.5378
1.5186,0.8032,0.5366,0.5366
1.5386,0.8232,0.5366,0.5366
1.5586,0.8432,0.5366,0.5366
1.5786,0.8632,0.5366,0.5366
1.5986,0.8832,0.5366,0.5366
1.6186,0.9032,0.5366,0.5366
1.6386,0.9232,0.5366,0.5366
1.6586,0.9432,0.5366,0.5366
1.6786,0.9632,0.5325,0.5325
1.6986,0.9832,0.5280,0.5280
1.7186,1.0032,0.5248,0.5248
1.7386,1.0032,0.5229,0.5229
1.7586,1.0232,0.5248,0.5248
1.7786,1.0432,0.5280,0.5280
1.7986,1.0632,0.5325,0.5325
1.8186,1.0832,0.5280,0.5280
