# x_m,y_m,w_tr_right_m,w_tr_left_m
6.7300,-1.2763,0.4472,0.4472
6.7700,-1.2763,0.4472,0.4472
6.8100,-1.2763,0.4418,0.4418
6.8500,-1.2763,0.4400,0.4400
6.8900,-1.2363,0.4472,0.4472
6.9300,-1.2363,0.4561,0.4561
6.9700,-1.2363,0.4561,0.4561
7.0100,-1.2363,0.4472,0.4472
7.0500,-1.2363,0.4418,0.4418
7.0900,-1.2363,0.4400,0.4400
7.1300,-1.2363,0.4400,0.4400
7.1700,-1.1963,0.4400,0.4400
7.2100,-1.1963,0.4400,0.4400
7.2500,-1.1963,0.4400,0.4400
7.2900,-1.1963,0.4400,0.4400
7.3300,-1.1963,0.4400,0.4400
7.3700,-1.1963,0.4400,0.4400
7.4100,-1.1963,0.4400,0.4400
7.4500,-1.1963,0.4308,0.4308
7.4900,-1.1963,0.4176,0.4176
7.5300,-1.1563,0.4400,0.4400
7.5700,-1.1563,0.4400,0.4400
7.6100,-1.1563,0.4400,0.4400
7.6500,-1.1563,0.4308,0.4308
7.6900,-1.1563,0.4176,0.4176
7.7300,-1.1563,0.4079,0.4079
7.7700,-1.1563,0.4020,0.4020
7.8100,-1.1563,0.4000,0.4000
7.8500,-1.1163,0.4400,0.4400
7.8900,-1.1163,0.4400,0.4400
7.9300,-1.1163,0.4400,0.4400
7.9700,-1.1163,0.4400,0.4400
8.0100,-1.1163,0.4400,0.4400
8.0500,-1.1163,0.4400,0.4400
8.0900,-1.1163,0.4400,0.4400
8.1300,-1.1163,0.4400,0.4400
8.1700,-1.0763,0.4800,0.4800
8.2100,-1.0763,0.4800,0.4800
8.2500,-1.0363,0.5060,0.5060
8.2900,-1.0363,0.4948,0.4948
8.3300,-1.0363,0.4866,0.4866
8.3700,-0.9963,0.5215,0.5215
8.4100,-0.9563,0.5600,0.5600
8.4500,-0.9563,0.5571,0.5571
8.4900,-0.9163,0.5824,0.5824
8.5300,-0.8763,0.6119,0.6119
8.5700,-0.8363,0.6450,0.6450
8.6100,-0.7963,0.6812,0.6812
8.6500,-0.7563,0.7200,0.7200
8.6500,-0.7163,0.7088,0.7088
8.6500,-0.6763,0.6986,0.6986
8.6500,-0.6363,0.6905,0.6905
8.6100,-0.5963,0.6450,0.6450
8.6100,-0.5563,0.6412,0.6412
8.6100,-0.5163,0.6400,0.6400
8.6100,-0.4763,0.6400,0.6400
8.5700,-0.4363,0.6013,0.6013
8.5700,-0.3963,0.6053,0.6053
8.5700,-0.3563,0.6119,0.6119
8.5700,-0.3163,0.6210,0.6210
