# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.5266,0.4786,0.3866,0.3866
-4.5266,0.4986,0.3837,0.3837
-4.5066,0.5186,0.4000,0.4000
-4.5066,0.5386,0.3948,0.3948
-4.5066,0.5586,0.3903,0.3903
-4.4866,0.5786,0.4060,0.4060
-4.4866,0.5986,0.4000,0.4000
-4.4666,0.6186,0.4142,0.4142
-4.4666,0.6386,0.4099,0.4099
-4.4466,0.6586,0.4261,0.4261
-4.4466,0.6786,0.4235,0.4235
-4.4266,0.6986,0.4385,0.4385
-4.4066,0.7186,0.4532,0.4532
-4.4066,0.7386,0.4492,0.4492
-4.4066,0.7586,0.4441,0.4441
-4.3866,0.7786,0.4579,0.4579
-4.3666,0.7986,0.4727,0.4727
-4.3466,0.8186,0.4882,0.4882
-4.3266,0.8386,0.5017,0.5017
-4.3066,0.8586,0.5161,0.5161
-4.2866,0.8786,0.5315,0.5315
-4.2666,0.8986,0.5456,0.5456
-4.2466,0.8986,0.5600,0.5600
-4.2266,0.9186,0.5400,0.5400
-4.2066,0.9186,0.5400,0.5400
-4.1866,0.9386,0.5200,0.5200
-4.1666,0.9386,0.5200,0.5200
-4.1466,0.9386,0.5200,0.5200
-4.1266,0.9586,0.5000,0.5000
-4.1066,0.9586,0.5000,0.5000
-4.0866,0.9586,0.5000,0.5000
-4.0666,0.9586,0.5003,0.5003
-4.0466,0.9586,0.5013,0.5013
-4.0266,0.9786,0.4831,0.4831
-4.0066,0.9786,0.4855,0.4855
-3.9866,0.9786,0.4886,0.4886
-3.9666,0.9786,0.4923,0.4923
-3.9466,0.9786,0.4967,0.4967
-3.9266,0.9786,0.5017,0.5017
-3.9066,0.9786,0.5073,0.5073
-3.8866,0.9786,0.5073,0.5073
-3.8666,0.9786,0.5017,0.5017
-3.8466,0.9786,0.4967,0.4967
-3.8266,0.9786,0.4923,0.4923
-3.8066,0.9786,0.4886,0.4886
-3.7866,0.9786,0.4855,0.4855
-3.7666,0.9786,0.4831,0.4831
-3.7466,0.9786,0.4814,0.4814
-3.7266,0.9786,0.4803,0.4803
-3.7066,0.9786,0.4800,0.4800
-3.6866,0.9786,0.4800,0.4800
-3.6666,0.9786,0.4800,0.4800
-3.6466,0.9786,0.4800,0.4800
-3.6266,0.9786,0.4800,0.4800
-3.6066,0.9786,0.4800,0.4800
-3.5866,0.9786,0.4800,0.4800
-3.5666,0.9786,0.4800,0.4800
-3.5466,0.9786,0.4803,0.4803
-3.5266,0.9786,0.4814,0.4814
-3.5066,0.9786,0.4831,0.4831
-3.4866,0.9786,0.4855,0.4855
-3.4666,0.9786,0.4886,0.4886
-3.4466,0.9986,0.5119,0.5119
-3.4266,0.9986,0.5161,0.5161
-3.4066,0.9986,0.5210,0.5210
-3.3866,0.9986,0.5251,0.5251
-3.3666,0.9986,0.5280,0.5280
-3.3466,1.0186,0.5512,0.5512
-3.3266,1.0186,0.5551,0.5551
-3.3066,1.0186,0.5597,0.5597
-3.2866,1.0186,0.5648,0.5648
-3.2666,1.0386,0.5896,0.5896
-3.2466,1.0586,0.6139,0.6139
-3.2266,1.0786,0.6376,0.6376
-3.2066,1.0986,0.6616,0.6616
-3.1866,1.1186,0.6467,0.6467
-3.1666,1.1386,0.6299,0.6299
-3.1666,1.1586,0.6335,0.6335
-3.1466,1.1786,0.6181,0.6181
-3.1266,1.1986,0.6034,0.6034
-3.1266,1.2186,0.6071,0.6071
-3.1066,1.2386,0.5905,0.5905
-3.1066,1.2586,0.5943,0.5943
-3.0866,1.2786,0.5791,0.5791
-3.0866,1.2986,0.5826,0.5826
-3.0866,1.3186,0.5847,0.5847
-3.0666,1.3386,0.5675,0.5675
-3.0666,1.3586,0.5708,0.5708
-3.0666,1.3786,0.5747,0.5747
-3.0666,1.3986,0.5791,0.5791
-3.0666,1.4186,0.5826,0.5826
-3.0466,1.4386,0.5648,0.5648
-3.0466,1.4586,0.5675,0.5675
-3.0466,1.4786,0.5708,0.5708
-3.0466,1.4986,0.5747,0.5747
-3.0266,1.5186,0.5597,0.5597
-3.0266,1.5386,0.5648,0.5648
-3.0266,1.5586,0.5675,0.5675
-3.0266,1.5786,0.5708,0.5708
-3.0066,1.5986,0.5551,0.5551
-3.0066,1.6186,0.5597,0.5597
-3.0066,1.6386,0.5627,0.5627
-3.0066,1.6586,0.5648,0.5648
-2.9866,1.6786,0.5478,0.5478
-2.9866,1.6986,0.5512,0.5512
-2.9866,1.7186,0.5551,0.5551
-2.9866,1.7386,0.5597,0.5597
-2.9866,1.7586,0.5648,0.5648
-2.9666,1.7786,0.5478,0.5478
-2.9666,1.7986,0.5512,0.5512
-2.9466,1.8186,0.5356,0.5356
-2.9466,1.8386,0.5403,0.5403
-2.9466,1.8586,0.5450,0.5450
-2.9466,1.8786,0.5478,0.5478
-2.9266,1.8986,0.5315,0.5315
-2.9266,1.9186,0.5356,0.5356
-2.9266,1.9386,0.5403,0.5403
-2.9266,1.9586,0.5428,0.5428
-2.9266,1.9786,0.5450,0.5450
-2.9066,1.9986,0.5280,0.5280
-2.9066,2.0186,0.5315,0.5315
-2.9066,2.0386,0.5356,0.5356
-2.9066,2.0586,0.5403,0.5403
-2.9066,2.0786,0.5450,0.5450
-2.8866,2.0986,0.5280,0.5280
-2.8866,2.1186,0.5315,0.5315
-2.8866,2.1386,0.5356,0.5356
-2.8666,2.1586,0.5210,0.5210
-2.8666,2.1786,0.5264,0.5264
-2.8666,2.1986,0.5315,0.5315
-2.8466,2.2186,0.5161,0.5161
-2.8466,2.2386,0.5210,0.5210
-2.8466,2.2586,0.5251,0.5251
-2.8466,2.2786,0.5280,0.5280
-2.8266,2.2986,0.5119,0.5119
-2.8266,2.3186,0.5161,0.5161
-2.8266,2.3386,0.5210,0.5210
-2.8266,2.3586,0.5264,0.5264
-2.8266,2.3786,0.5315,0.5315
-2.8066,2.3986,0.5161,0.5161
-2.8066,2.4186,0.5210,0.5210
-2.8066,2.4386,0.5229,0.5229
-2.8066,2.4586,0.5251,0.5251
-2.8066,2.4786,0.5280,0.5280
-2.7866,2.4986,0.5119,0.5119
-2.7866,2.5186,0.5161,0.5161
-2.7866,2.5386,0.5210,0.5210
-2.7666,2.5586,0.5053,0.5053
-2.7666,2.5786,0.5083,0.5083
-2.7666,2.5986,0.5119,0.5119
-2.7466,2.6186,0.4967,0.4967
-2.7466,2.6386,0.5017,0.5017
-2.7466,2.6586,0.5073,0.5073
-2.7466,2.6786,0.5119,0.5119
-2.7266,2.6986,0.4967,0.4967
-2.7266,2.7186,0.5017,0.5017
