# x_m,y_m,w_tr_right_m,w_tr_left_m
3.2426,-0.8673,0.5512,0.5512
3.2626,-0.8673,0.5551,0.5551
3.2826,-0.8673,0.5597,0.5597
3.3026,-0.8673,0.5648,0.5648
3.3226,-0.8673,0.5705,0.5705
3.3426,-0.8673,0.5768,0.5768
3.3626,-0.8873,0.5648,0.5648
3.3826,-0.8873,0.5723,0.5723
3.4026,-0.8873,0.5723,0.5723
3.4226,-0.8873,0.5648,0.5648
3.4426,-0.9073,0.5768,0.5768
3.4626,-0.9073,0.5705,0.5705
3.4826,-0.9073,0.5648,0.5648
3.5026,-0.9073,0.5579,0.5579
3.5226,-0.9073,0.5515,0.5515
3.5426,-0.9273,0.5648,0.5648
3.5626,-0.9273,0.5597,0.5597
3.5826,-0.9473,0.5747,0.5747
3.6026,-0.9473,0.5708,0.5708
3.6226,-0.9673,0.5873,0.5873
3.6426,-0.9673,0.5847,0.5847
3.6626,-0.9873,0.5747,0.5747
3.6826,-1.0073,0.5597,0.5597
3.7026,-1.0073,0.5403,0.5403
3.7226,-1.0273,0.5251,0.5251
3.7226,-1.0473,0.5280,0.5280
3.7426,-1.0673,0.5119,0.5119
3.7626,-1.0873,0.4967,0.4967
3.7626,-1.1073,0.5017,0.5017
3.7826,-1.1273,0.4882,0.4882
3.8026,-1.1473,0.4758,0.4758
3.8026,-1.1673,0.4824,0.4824
3.8026,-1.1873,0.4882,0.4882
3.8226,-1.2073,0.4758,0.4758
3.8226,-1.2273,0.4831,0.4831
3.8226,-1.2473,0.4909,0.4909
3.8426,-1.2673,0.4814,0.4814
3.8426,-1.2873,0.4906,0.4906
3.8626,-1.3073,0.4814,0.4814
3.8626,-1.3273,0.4906,0.4906
3.8626,-1.3473,0.5003,0.5003
3.8826,-1.3673,0.4936,0.4936
3.8826,-1.3873,0.5000,0.5000
3.8826,-1.4073,0.4882,0.4882
3.9026,-1.4273,0.4936,0.4936
3.9026,-1.4473,0.4831,0.4831
3.9226,-1.4673,0.4906,0.4906
3.9226,-1.4873,0.4814,0.4814
3.9426,-1.5073,0.4909,0.4909
3.9426,-1.5273,0.4831,0.4831
3.9426,-1.5473,0.4758,0.4758
3.9626,-1.5673,0.4882,0.4882
3.9626,-1.5873,0.4814,0.4814
3.9626,-1.6073,0.4727,0.4727
3.9826,-1.6273,0.4831,0.4831
4.0026,-1.6473,0.4946,0.4946
4.0026,-1.6673,0.4882,0.4882
4.0026,-1.6873,0.4824,0.4824
4.0226,-1.7073,0.4967,0.4967
4.0426,-1.7273,0.5119,0.5119
4.0626,-1.7473,0.5264,0.5264
4.0826,-1.7673,0.5403,0.5403
4.1026,-1.7873,0.5551,0.5551
4.1226,-1.8073,0.5708,0.5708
4.1426,-1.8073,0.5905,0.5905
4.1626,-1.8273,0.6000,0.6000
4.1826,-1.8473,0.5800,0.5800
4.2026,-1.8473,0.5800,0.5800
4.2226,-1.8473,0.5803,0.5803
4.2426,-1.8473,0.5812,0.5812
4.2626,-1.8673,0.5627,0.5627
4.2826,-1.8673,0.5648,0.5648
4.3026,-1.8873,0.5478,0.5478
4.3226,-1.8873,0.5512,0.5512
4.3426,-1.8873,0.5551,0.5551
4.3626,-1.8873,0.5597,0.5597
4.3826,-1.9073,0.5400,0.5400
4.4026,-1.9073,0.5400,0.5400
4.4226,-1.9073,0.5400,0.5400
4.4426,-1.9073,0.5400,0.5400
4.4626,-1.9073,0.5400,0.5400
4.4826,-1.9073,0.5400,0.5400
4.5026,-1.9073,0.5400,0.5400
4.5226,-1.9073,0.5400,0.5400
4.5426,-1.9073,0.5400,0.5400
4.5626,-1.9073,0.5400,0.5400
4.5826,-1.9073,0.5400,0.5400
4.6026,-1.9073,0.5400,0.5400
4.6226,-1.9073,0.5400,0.5400
4.6426,-1.9073,0.5400,0.5400
4.6626,-1.9073,0.5400,0.5400
4.6826,-1.9073,0.5400,0.5400
4.7026,-1.9073,0.5403,0.5403
4.7226,-1.9073,0.5412,0.5412
4.7426,-1.9073,0.5428,0.5428
4.7626,-1.9073,0.5403,0.5403
4.7826,-1.9273,0.5280,0.5280
4.8026,-1.9273,0.5315,0.5315
4.8226,-1.9273,0.5356,0.5356
4.8426,-1.9273,0.5400,0.5400
4.8626,-1.9273,0.5400,0.5400
4.8826,-1.9273,0.5400,0.5400
4.9026,-1.9273,0.5400,0.5400
4.9226,-1.9273,0.5400,0.5400
4.9426,-1.9273,0.5400,0.5400
4.9626,-1.9273,0.5400,0.5400
4.9826,-1.9273,0.5400,0.5400
5.0026,-1.9273,0.5400,0.5400
5.0226,-1.9273,0.5400,0.5400
5.0426,-1.9273,0.5400,0.5400
5.0626,-1.9273,0.5400,0.5400
5.0826,-1.9273,0.5400,0.5400
5.1026,-1.9273,0.5400,0.5400
5.1226,-1.9273,0.5400,0.5400
5.1426,-1.9273,0.5403,0.5403
5.1626,-1.9273,0.5412,0.5412
5.1826,-1.9273,0.5428,0.5428
5.2026,-1.9273,0.5450,0.5450
5.2226,-1.9273,0.5478,0.5478
5.2426,-1.9273,0.5512,0.5512
5.2626,-1.9273,0.5551,0.5551
5.2826,-1.9273,0.5597,0.5597
5.3026,-1.9273,0.5600,0.5600
5.3226,-1.9273,0.5600,0.5600
5.3426,-1.9273,0.5600,0.5600
5.3626,-1.9273,0.5600,0.5600
5.3826,-1.9273,0.5600,0.5600
5.4026,-1.9273,0.5600,0.5600
5.4226,-1.9273,0.5600,0.5600
5.4426,-1.9273,0.5603,0.5603
5.4626,-1.9273,0.5612,0.5612
5.4826,-1.9273,0.5627,0.5627
5.5026,-1.9273,0.5648,0.5648
5.5226,-1.9073,0.5873,0.5873
5.5426,-1.9073,0.5905,0.5905
5.5626,-1.9073,0.5943,0.5943
5.5826,-1.8873,0.6071,0.6071
5.6026,-1.8873,0.5873,0.5873
5.6226,-1.8673,0.5708,0.5708
5.6426,-1.8473,0.5551,0.5551
5.6626,-1.8273,0.5400,0.5400
5.6826,-1.8073,0.5200,0.5200
5.6826,-1.7873,0.5200,0.5200
5.7026,-1.7673,0.5000,0.5000
5.7226,-1.7473,0.4803,0.4803
5.7226,-1.7273,0.4814,0.4814
5.7426,-1.7073,0.4632,0.4632
5.7426,-1.6873,0.4657,0.4657
5.7626,-1.6673,0.4492,0.4492
5.7626,-1.6473,0.4532,0.4532
5.7626,-1.6273,0.4579,0.4579
5.7826,-1.6073,0.4400,0.4400
5.7826,-1.5873,0.4400,0.4400
5.7826,-1.5673,0.4400,0.4400
5.8026,-1.5473,0.4200,0.4200
5.8026,-1.5273,0.4200,0.4200
5.8226,-1.5073,0.4000,0.4000
5.8226,-1.4873,0.4000,0.4000
5.8226,-1.4673,0.4004,0.4004
5.8226,-1.4473,0.4016,0.4016
5.8226,-1.4273,0.4036,0.4036
5.8426,-1.4073,0.3866,0.3866
5.8426,-1.3873,0.3903,0.3903
5.8426,-1.3673,0.3948,0.3948
5.8626,-1.3473,0.3800,0.3800
5.8626,-1.3273,0.3800,0.3800
5.8626,-1.3073,0.3800,0.3800
5.8626,-1.2873,0.3804,0.3804
5.8626,-1.2673,0.3817,0.3817
5.8626,-1.2473,0.3837,0.3837
5.8626,-1.2273,0.3866,0.3866
5.8626,-1.2073,0.3903,0.3903
5.8626,-1.1873,0.3948,0.3948
5.8626,-1.1673,0.4000,0.4000
5.8626,-1.1473,0.3940,0.3940
5.8626,-1.1273,0.3870,0.3870
5.8626,-1.1073,0.3808,0.3808
5.8826,-1.0873,0.3800,0.3800
5.8826,-1.0673,0.3800,0.3800
5.8826,-1.0473,0.3800,0.3800
5.8826,-1.0273,0.3800,0.3800
5.8826,-1.0073,0.3800,0.3800
5.8826,-0.9873,0.3800,0.3800
5.8826,-0.9673,0.3800,0.3800
5.8826,-0.9473,0.3800,0.3800
5.8826,-0.9273,0.3800,0.3800
5.8826,-0.9073,0.3754,0.3754
5.9026,-0.8873,0.3617,0.3617
5.9026,-0.8673,0.3639,0.3639
5.9026,-0.8473,0.3669,0.3669
5.9026,-0.8273,0.3707,0.3707
5.9026,-0.8073,0.3754,0.3754
5.9026,-0.7873,0.3800,0.3800
5.9026,-0.7673,0.3800,0.3800
5.9026,-0.7473,0.3800,0.3800
5.9026,-0.7273,0.3800,0.3800
5.9026,-0.7073,0.3800,0.3800
5.9026,-0.6873,0.3800,0.3800
5.9026,-0.6673,0.3800,0.3800
5.9026,-0.6473,0.3800,0.3800
5.9026,-0.6273,0.3754,0.3754
5.9026,-0.6073,0.3707,0.3707
5.9026,-0.5873,0.3669,0.3669
5.9026,-0.5673,0.3639,0.3639
5.9026,-0.5473,0.3617,0.3617
5.9226,-0.5273,0.3600,0.3600
5.9226,-0.5073,0.3604,0.3604
5.9226,-0.4873,0.3617,0.3617
5.9226,-0.4673,0.3639,0.3639
5.9226,-0.4473,0.3669,0.3669
5.9226,-0.4273,0.3707,0.3707
5.9226,-0.4073,0.3707,0.3707
5.9226,-0.3873,0.3669,0.3669
5.9226,-0.3673,0.3639,0.3639
5.9426,-0.3473,0.3600,0.3600
5.9426,-0.3273,0.3600,0.3600
5.9426,-0.3073,0.3600,0.3600
5.9426,-0.2873,0.3600,0.3600
5.9426,-0.2673,0.3604,0.3604
5.9426,-0.2473,0.3617,0.3617
5.9426,-0.2273,0.3639,0.3639
5.9426,-0.2073,0.3669,0.3669
5.9426,-0.1873,0.3669,0.3669
5.9426,-0.1673,0.3639,0.3639
5.9626,-0.1473,0.3617,0.3617
5.9626,-0.1273,0.3639,0.3639
5.9626,-0.1073,0.3669,0.3669
5.9626,-0.0873,0.3707,0.3707
5.9626,-0.0673,0.3707,0.3707
5.9626,-0.0473,0.3669,0.3669
5.9626,-0.0273,0.3639,0.3639
5.9626,-0.0073,0.3617,0.3617
5.9626,0.0127,0.3604,0.3604
5.9626,0.0327,0.3600,0.3600
5.9626,0.0527,0.3600,0.3600
5.9626,0.0727,0.3600,0.3600
5.9826,0.0927,0.3754,0.3754
5.9826,0.1127,0.3707,0.3707
5.9826,0.1327,0.3669,0.3669
5.9826,0.1527,0.3639,0.3639
5.9826,0.1727,0.3617,0.3617
5.9826,0.1927,0.3604,0.3604
5.9826,0.2127,0.3600,0.3600
5.9826,0.2327,0.3600,0.3600
5.9826,0.2527,0.3600,0.3600
5.9826,0.2727,0.3600,0.3600
5.9826,0.2927,0.3600,0.3600
5.9826,0.3127,0.3561,0.3561
6.0026,0.3327,0.3707,0.3707
6.0026,0.3527,0.3669,0.3669
6.0026,0.3727,0.3639,0.3639
6.0026,0.3927,0.3617,0.3617
6.0026,0.4127,0.3604,0.3604
6.0026,0.4327,0.3600,0.3600
6.0026,0.4527,0.3600,0.3600
6.0026,0.4727,0.3600,0.3600
6.0026,0.4927,0.3600,0.3600
6.0026,0.5127,0.3600,0.3600
6.0026,0.5327,0.3600,0.3600
6.0226,0.5527,0.3707,0.3707
6.0226,0.5727,0.3754,0.3754
6.0226,0.5927,0.3754,0.3754
6.0226,0.6127,0.3707,0.3707
6.0226,0.6327,0.3669,0.3669
6.0226,0.6527,0.3639,0.3639
6.0426,0.6727,0.3600,0.3600
6.0426,0.6927,0.3600,0.3600
6.0426,0.7127,0.3600,0.3600
6.0426,0.7327,0.3600,0.3600
6.0426,0.7527,0.3604,0.3604
6.0426,0.7727,0.3617,0.3617
6.0426,0.7927,0.3639,0.3639
6.0426,0.8127,0.3669,0.3669
6.0426,0.8327,0.3707,0.3707
6.0426,0.8527,0.3669,0.3669
6.0426,0.8727,0.3639,0.3639
6.0426,0.8927,0.3617,0.3617
6.0426,0.9127,0.3604,0.3604
6.0426,0.9327,0.3561,0.3561
6.0426,0.9527,0.3512,0.3512
6.0426,0.9727,0.3472,0.3472
6.0626,0.9927,0.3600,0.3600
6.0626,1.0127,0.3600,0.3600
6.0626,1.0327,0.3600,0.3600
6.0626,1.0527,0.3600,0.3600
6.0626,1.0727,0.3600,0.3600
6.0626,1.0927,0.3600,0.3600
6.0626,1.1127,0.3600,0.3600
6.0626,1.1327,0.3600,0.3600
6.0626,1.1527,0.3600,0.3600
6.0626,1.1727,0.3600,0.3600
6.0626,1.1927,0.3600,0.3600
6.0626,1.2127,0.3600,0.3600
6.0626,1.2327,0.3600,0.3600
6.0626,1.2527,0.3561,0.3561
6.0626,1.2727,0.3512,0.3512
6.0626,1.2927,0.3472,0.3472
6.0626,1.3127,0.3441,0.3441
6.0626,1.3327,0.3418,0.3418
6.0626,1.3527,0.3405,0.3405
6.0626,1.3727,0.3400,0.3400
6.0626,1.3927,0.3405,0.3405
6.0626,1.4127,0.3418,0.3418
6.0626,1.4327,0.3418,0.3418
6.0626,1.4527,0.3405,0.3405
6.0626,1.4727,0.3400,0.3400
6.0626,1.4927,0.3400,0.3400
6.0826,1.5127,0.3600,0.3600
6.0826,1.5327,0.3600,0.3600
6.0826,1.5527,0.3600,0.3600
6.0826,1.5727,0.3600,0.3600
6.0826,1.5927,0.3600,0.3600
6.0826,1.6127,0.3600,0.3600
6.0826,1.6327,0.3600,0.3600
6.0826,1.6527,0.3600,0.3600
6.0826,1.6727,0.3600,0.3600
6.0826,1.6927,0.3600,0.3600
6.0826,1.7127,0.3600,0.3600
6.0826,1.7327,0.3604,0.3604
6.0826,1.7527,0.3617,0.3617
6.0826,1.7727,0.3639,0.3639
6.0826,1.7927,0.3639,0.3639
6.0826,1.8127,0.3617,0.3617
6.0826,1.8327,0.3604,0.3604
6.1026,1.8527,0.3604,0.3604
6.1026,1.8727,0.3617,0.3617
6.1026,1.8927,0.3639,0.3639
6.1026,1.9127,0.3669,0.3669
6.1026,1.9327,0.3707,0.3707
6.1026,1.9527,0.3669,0.3669
6.1026,1.9727,0.3639,0.3639
6.1026,1.9927,0.3617,0.3617
6.1026,2.0127,0.3604,0.3604
6.1026,2.0327,0.3600,0.3600
6.1026,2.0527,0.3604,0.3604
6.1026,2.0727,0.3617,0.3617
6.1226,2.0927,0.3441,0.3441
6.1226,2.1127,0.3472,0.3472
6.1226,2.1327,0.3512,0.3512
6.1226,2.1527,0.3561,0.3561
6.1226,2.1727,0.3600,0.3600
6.1226,2.1927,0.3600,0.3600
6.1226,2.2127,0.3600,0.3600
6.1226,2.2327,0.3600,0.3600
6.1226,2.2527,0.3600,0.3600
6.1226,2.2727,0.3600,0.3600
6.1226,2.2927,0.3600,0.3600
6.1226,2.3127,0.3561,0.3561
6.1226,2.3327,0.3512,0.3512
6.1226,2.3527,0.3472,0.3472
6.1226,2.3727,0.3441,0.3441
6.1226,2.3927,0.3418,0.3418
6.1226,2.4127,0.3405,0.3405
6.1226,2.4327,0.3400,0.3400
6.1226,2.4527,0.3400,0.3400
6.1226,2.4727,0.3400,0.3400
6.1226,2.4927,0.3400,0.3400
6.1226,2.5127,0.3400,0.3400
6.1226,2.5327,0.3400,0.3400
6.1226,2.5527,0.3400,0.3400
6.1226,2.5727,0.3400,0.3400
6.1226,2.5927,0.3400,0.3400
6.1226,2.6127,0.3405,0.3405
6.1226,2.6327,0.3418,0.3418
6.1226,2.6527,0.3441,0.3441
6.1226,2.6727,0.3472,0.3472
6.1226,2.6927,0.3512,0.3512
6.1226,2.7127,0.3561,0.3561
6.1226,2.7327,0.3617,0.3617
6.1226,2.7527,0.3669,0.3669
6.1226,2.7727,0.3707,0.3707
6.1226,2.7927,0.3754,0.3754
6.1226,2.8127,0.3808,0.3808
6.1426,2.8327,0.3639,0.3639
6.1426,2.8527,0.3669,0.3669
6.1426,2.8727,0.3707,0.3707
6.1426,2.8927,0.3754,0.3754
6.1426,2.9127,0.3808,0.3808
6.1426,2.9327,0.3837,0.3837
6.1426,2.9527,0.3866,0.3866
6.1426,2.9727,0.3903,0.3903
6.1426,2.9927,0.3948,0.3948
6.1226,3.0127,0.4192,0.4192
6.1226,3.0327,0.4200,0.4200
6.1226,3.0527,0.4204,0.4204
6.1226,3.0727,0.4200,0.4200
6.1226,3.0927,0.4204,0.4204
6.1226,3.1127,0.4215,0.4215
6.1226,3.1327,0.4235,0.4235
6.1026,3.1527,0.4459,0.4459
6.1026,3.1727,0.4492,0.4492
6.1026,3.1927,0.4532,0.4532
6.1026,3.2127,0.4579,0.4579
6.1026,3.2327,0.4632,0.4632
6.1026,3.2527,0.4692,0.4692
6.0826,3.2727,0.4946,0.4946
6.0826,3.2927,0.5017,0.5017
6.0826,3.3127,0.5093,0.5093
6.0826,3.3327,0.5161,0.5161
6.0626,3.3527,0.5403,0.5403
6.0426,3.3727,0.5648,0.5648
6.0226,3.3727,0.5841,0.5841
6.0026,3.3927,0.5826,0.5826
5.9826,3.4127,0.5648,0.5648
5.9626,3.4327,0.5478,0.5478
5.9426,3.4327,0.5512,0.5512
5.9226,3.4527,0.5356,0.5356
5.9026,3.4727,0.5200,0.5200
5.8826,3.4727,0.5203,0.5203
5.8626,3.4927,0.5013,0.5013
5.8426,3.4927,0.5030,0.5030
5.8226,3.4927,0.5053,0.5053
5.8026,3.5127,0.4831,0.4831
5.7826,3.5127,0.4814,0.4814
5.7626,3.5127,0.4803,0.4803
5.7426,3.5327,0.4600,0.4600
5.7226,3.5327,0.4600,0.4600
5.7026,3.5327,0.4600,0.4600
5.6826,3.5327,0.4600,0.4600
5.6626,3.5327,0.4600,0.4600
5.6426,3.5327,0.4600,0.4600
5.6226,3.5327,0.4600,0.4600
5.6026,3.5327,0.4600,0.4600
5.5826,3.5527,0.4400,0.4400
5.5626,3.5527,0.4400,0.4400
5.5426,3.5527,0.4404,0.4404
5.5226,3.5527,0.4415,0.4415
5.5026,3.5527,0.4433,0.4433
5.4826,3.5527,0.4459,0.4459
5.4626,3.5527,0.4492,0.4492
5.4426,3.5527,0.4532,0.4532
5.4226,3.5527,0.4579,0.4579
5.4026,3.5527,0.4532,0.4532
5.3826,3.5527,0.4492,0.4492
5.3626,3.5527,0.4459,0.4459
5.3426,3.5527,0.4433,0.4433
5.3226,3.5527,0.4415,0.4415
5.3026,3.5527,0.4404,0.4404
5.2826,3.5527,0.4400,0.4400
5.2626,3.5727,0.4459,0.4459
5.2426,3.5727,0.4492,0.4492
5.2226,3.5727,0.4532,0.4532
5.2026,3.5727,0.4579,0.4579
5.1826,3.5727,0.4600,0.4600
5.1626,3.5727,0.4579,0.4579
5.1426,3.5727,0.4532,0.4532
5.1226,3.5727,0.4492,0.4492
5.1026,3.5727,0.4459,0.4459
5.0826,3.5727,0.4433,0.4433
5.0626,3.5727,0.4415,0.4415
5.0426,3.5727,0.4404,0.4404
5.0226,3.5727,0.4400,0.4400
5.0026,3.5727,0.4400,0.4400
4.9826,3.5727,0.4400,0.4400
4.9626,3.5927,0.4600,0.4600
4.9426,3.5927,0.4579,0.4579
4.9226,3.5927,0.4532,0.4532
4.9026,3.5927,0.4492,0.4492
4.8826,3.5927,0.4459,0.4459
4.8626,3.5927,0.4433,0.4433
4.8426,3.5927,0.4415,0.4415
4.8226,3.6127,0.4492,0.4492
4.8026,3.6127,0.4532,0.4532
4.7826,3.6127,0.4579,0.4579
4.7626,3.6127,0.4600,0.4600
4.7426,3.6127,0.4600,0.4600
4.7226,3.6127,0.4600,0.4600
4.7026,3.6127,0.4600,0.4600
4.6826,3.6127,0.4600,0.4600
4.6626,3.6127,0.4600,0.4600
4.6426,3.6127,0.4579,0.4579
4.6226,3.6127,0.4532,0.4532
4.6026,3.6127,0.4492,0.4492
4.5826,3.6127,0.4459,0.4459
4.5626,3.6127,0.4433,0.4433
4.5426,3.6127,0.4415,0.4415
4.5226,3.6127,0.4404,0.4404
4.5026,3.6127,0.4385,0.4385
4.4826,3.6127,0.4337,0.4337
4.4626,3.6127,0.4295,0.4295
4.4426,3.6327,0.4459,0.4459
4.4226,3.6327,0.4433,0.4433
4.4026,3.6327,0.4415,0.4415
4.3826,3.6327,0.4404,0.4404
4.3626,3.6327,0.4400,0.4400
4.3426,3.6327,0.4400,0.4400
4.3226,3.6527,0.4600,0.4600
4.3026,3.6527,0.4600,0.4600
4.2826,3.6527,0.4600,0.4600
4.2626,3.6527,0.4600,0.4600
4.2426,3.6527,0.4600,0.4600
4.2226,3.6527,0.4600,0.4600
4.2026,3.6527,0.4600,0.4600
4.1826,3.6527,0.4600,0.4600
4.1626,3.6527,0.4600,0.4600
4.1426,3.6527,0.4600,0.4600
4.1226,3.6727,0.4800,0.4800
4.1026,3.6727,0.4800,0.4800
4.0826,3.6727,0.4800,0.4800
4.0626,3.6727,0.4800,0.4800
4.0426,3.6727,0.4800,0.4800
4.0226,3.6727,0.4772,0.4772
4.0026,3.6727,0.4727,0.4727
3.9826,3.6727,0.4689,0.4689
3.9626,3.6727,0.4657,0.4657
3.9426,3.6727,0.4632,0.4632
3.9226,3.6727,0.4614,0.4614
3.9026,3.6727,0.4604,0.4604
3.8826,3.6727,0.4600,0.4600
3.8626,3.6927,0.4800,0.4800
3.8426,3.6927,0.4800,0.4800
3.8226,3.6927,0.4800,0.4800
3.8026,3.6927,0.4800,0.4800
3.7826,3.6927,0.4772,0.4772
3.7626,3.6927,0.4727,0.4727
3.7426,3.6927,0.4689,0.4689
3.7226,3.6927,0.4657,0.4657
3.7026,3.6927,0.4632,0.4632
3.6826,3.7127,0.4814,0.4814
3.6626,3.7127,0.4803,0.4803
3.6426,3.7127,0.4800,0.4800
3.6226,3.7327,0.5000,0.5000
3.6026,3.7327,0.5000,0.5000
3.5826,3.7527,0.5200,0.5200
3.5626,3.7727,0.5400,0.5400
3.5426,3.7727,0.5400,0.5400
3.5226,3.7927,0.5600,0.5600
3.5026,3.8127,0.5800,0.5800
3.4826,3.8327,0.5803,0.5803
3.4626,3.8527,0.5612,0.5612
3.4426,3.8727,0.5428,0.5428
3.4426,3.8927,0.5450,0.5450
3.4226,3.9127,0.5280,0.5280
3.4026,3.9327,0.5119,0.5119
3.3826,3.9527,0.4967,0.4967
3.3826,3.9727,0.5017,0.5017
3.3626,3.9927,0.4882,0.4882
3.3626,4.0127,0.4946,0.4946
3.3426,4.0327,0.4831,0.4831
3.3426,4.0527,0.4909,0.4909
3.3226,4.0727,0.4814,0.4814
3.3226,4.0927,0.4906,0.4906
3.3226,4.1127,0.4993,0.4993
3.3026,4.1327,0.4906,0.4906
3.3026,4.1527,0.4993,0.4993
3.3026,4.1727,0.5083,0.5083
3.2826,4.1927,0.4993,0.4993
3.2826,4.2127,0.5083,0.5083
3.2826,4.2327,0.5177,0.5177
3.2626,4.2527,0.5106,0.5106
3.2626,4.2727,0.5213,0.5213
3.2426,4.2927,0.5161,0.5161
3.2426,4.3127,0.5177,0.5177
3.2426,4.3327,0.5083,0.5083
3.2426,4.3527,0.4993,0.4993
3.2426,4.3727,0.4906,0.4906
3.2226,4.3927,0.4993,0.4993
3.2226,4.4127,0.4906,0.4906
3.2226,4.4327,0.4814,0.4814
3.2226,4.4527,0.4727,0.4727
3.2026,4.4727,0.4831,0.4831
3.2026,4.4927,0.4758,0.4758
3.1826,4.5127,0.4882,0.4882
3.1826,4.5327,0.4824,0.4824
3.1626,4.5527,0.4967,0.4967
3.1426,4.5727,0.5119,0.5119
3.1426,4.5927,0.5083,0.5083
3.1226,4.6127,0.5251,0.5251
3.1026,4.6327,0.5428,0.5428
3.0826,4.6527,0.5612,0.5612
3.0626,4.6727,0.5803,0.5803
3.0426,4.6727,0.6000,0.6000
3.0226,4.6927,0.5800,0.5800
3.0026,4.6927,0.5800,0.5800
2.9826,4.6927,0.5800,0.5800
2.9626,4.6927,0.5800,0.5800
2.9426,4.7127,0.5600,0.5600
2.9226,4.7127,0.5600,0.5600
2.9026,4.7327,0.5400,0.5400
2.8826,4.7327,0.5400,0.5400
2.8626,4.7327,0.5400,0.5400
2.8426,4.7327,0.5403,0.5403
2.8226,4.7327,0.5412,0.5412
2.8026,4.7527,0.5229,0.5229
2.7826,4.7527,0.5251,0.5251
2.7626,4.7527,0.5280,0.5280
2.7426,4.7527,0.5315,0.5315
2.7226,4.7527,0.5356,0.5356
2.7026,4.7527,0.5400,0.5400
2.6826,4.7727,0.5200,0.5200
2.6626,4.7727,0.5200,0.5200
2.6426,4.7727,0.5200,0.5200
2.6226,4.7727,0.5200,0.5200
2.6026,4.7727,0.5200,0.5200
2.5826,4.7727,0.5200,0.5200
2.5626,4.7927,0.5000,0.5000
2.5426,4.7927,0.5000,0.5000
2.5226,4.7927,0.5000,0.5000
2.5026,4.7927,0.5000,0.5000
2.4826,4.7927,0.5000,0.5000
2.4626,4.7927,0.5000,0.5000
2.4426,4.7927,0.5000,0.5000
2.4226,4.7927,0.5000,0.5000
2.4026,4.7927,0.5000,0.5000
2.3826,4.8127,0.4803,0.4803
2.3626,4.8127,0.4814,0.4814
2.3426,4.8127,0.4831,0.4831
2.3226,4.8127,0.4855,0.4855
2.3026,4.8127,0.4886,0.4886
2.2826,4.8327,0.4727,0.4727
2.2626,4.8327,0.4772,0.4772
2.2426,4.8327,0.4800,0.4800
2.2226,4.8327,0.4803,0.4803
2.2026,4.8327,0.4814,0.4814
2.1826,4.8327,0.4831,0.4831
2.1626,4.8327,0.4855,0.4855
2.1426,4.8327,0.4886,0.4886
2.1226,4.8327,0.4923,0.4923
2.1026,4.8327,0.4967,0.4967
2.0826,4.8327,0.5003,0.5003
2.0626,4.8327,0.5013,0.5013
2.0426,4.8327,0.5017,0.5017
2.0226,4.8327,0.4967,0.4967
2.0026,4.8527,0.4803,0.4803
1.9826,4.8527,0.4800,0.4800
1.9626,4.8527,0.4800,0.4800
1.9426,4.8527,0.4800,0.4800
1.9226,4.8527,0.4800,0.4800
1.9026,4.8527,0.4800,0.4800
1.8826,4.8527,0.4800,0.4800
1.8626,4.8727,0.4600,0.4600
1.8426,4.8727,0.4600,0.4600
