# x_m,y_m,w_tr_right_m,w_tr_left_m
3.3720,-3.3478,0.5000,0.5000
3.3720,-3.3078,0.5000,0.5000
3.3720,-3.2678,0.5000,0.5000
3.3720,-3.2278,0.5000,0.5000
3.3720,-3.1878,0.5000,0.5000
3.3720,-3.1478,0.5000,0.5000
3.4120,-3.1078,0.5400,0.5400
3.4120,-3.0678,0.5400,0.5400
3.4120,-3.0278,0.5400,0.5400
3.4120,-2.9878,0.5400,0.5400
3.4520,-2.9478,0.5800,0.5800
3.4920,-2.9078,0.5800,0.5800
3.5320,-2.8678,0.5412,0.5412
3.5720,-2.8278,0.5053,0.5053
3.6120,-2.8278,0.5119,0.5119
3.6520,-2.7878,0.4824,0.4824
3.6920,-2.7878,0.4946,0.4946
3.7320,-2.7478,0.4657,0.4657
3.7720,-2.7478,0.4727,0.4727
3.8120,-2.7478,0.4824,0.4824
3.8520,-2.7078,0.4571,0.4571
3.8920,-2.6678,0.4367,0.4367
3.9320,-2.6678,0.4557,0.4557
3.9720,-2.6678,0.4441,0.4441
4.0120,-2.6278,0.4557,0.4557
4.0520,-2.6278,0.4367,0.4367
4.0920,-2.5878,0.4557,0.4557
4.1320,-2.5878,0.4367,0.4367
4.1720,-2.5478,0.4571,0.4571
4.2120,-2.5478,0.4441,0.4441
4.2520,-2.5478,0.4337,0.4337
4.2920,-2.5078,0.4571,0.4571
4.3320,-2.5078,0.4441,0.4441
4.3720,-2.5078,0.4337,0.4337
4.4120,-2.4678,0.4657,0.4657
4.4520,-2.4278,0.5013,0.5013
4.4920,-2.4278,0.5000,0.5000
4.5320,-2.3878,0.5400,0.5400
4.5320,-2.3478,0.5800,0.5800
4.5720,-2.3078,0.5705,0.5705
4.5720,-2.2678,0.5835,0.5835
4.5720,-2.2278,0.5800,0.5800
4.6120,-2.1878,0.5597,0.5597
4.6120,-2.1478,0.5705,0.5705
4.6120,-2.1078,0.5705,0.5705
4.6120,-2.0678,0.5597,0.5597
4.6520,-2.0278,0.5450,0.5450
4.6520,-1.9878,0.5512,0.5512
4.6520,-1.9478,0.5597,0.5597
4.6520,-1.9078,0.5512,0.5512
4.6920,-1.8678,0.5400,0.5400
4.6920,-1.8278,0.5400,0.5400
4.6920,-1.7878,0.5400,0.5400
4.6920,-1.7478,0.5400,0.5400
4.6920,-1.7078,0.5412,0.5412
4.6920,-1.6678,0.5450,0.5450
4.7320,-1.6278,0.5119,0.5119
4.7320,-1.5878,0.5210,0.5210
4.7320,-1.5478,0.5325,0.5325
4.7320,-1.5078,0.5400,0.5400
4.7320,-1.4678,0.5400,0.5400
4.7320,-1.4278,0.5400,0.5400
4.7320,-1.3878,0.5325,0.5325
4.7320,-1.3478,0.5210,0.5210
4.7720,-1.3078,0.5210,0.5210
4.7720,-1.2678,0.5325,0.5325
4.7720,-1.2278,0.5400,0.5400
4.7720,-1.1878,0.5400,0.5400
4.7720,-1.1478,0.5400,0.5400
4.7720,-1.1078,0.5325,0.5325
4.7720,-1.0678,0.5210,0.5210
4.7720,-1.0278,0.5119,0.5119
4.8120,-0.9878,0.5450,0.5450
4.8120,-0.9478,0.5412,0.5412
4.8120,-0.9078,0.5400,0.5400
4.8120,-0.8678,0.5400,0.5400
4.8120,-0.8278,0.5400,0.5400
4.8520,-0.7878,0.5512,0.5512
4.8520,-0.7478,0.5597,0.5597
4.8520,-0.7078,0.5512,0.5512
4.8520,-0.6678,0.5450,0.5450
