# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.7174,-3.7668,0.5600,0.5600
-2.6974,-3.7668,0.5600,0.5600
-2.6774,-3.7668,0.5600,0.5600
-2.6574,-3.7668,0.5600,0.5600
-2.6374,-3.7668,0.5600,0.5600
-2.6174,-3.7668,0.5600,0.5600
-2.5974,-3.7668,0.5600,0.5600
-2.5774,-3.7868,0.5400,0.5400
-2.5574,-3.7868,0.5403,0.5403
-2.5374,-3.7868,0.5412,0.5412
-2.5174,-3.7868,0.5428,0.5428
-2.4974,-3.7868,0.5450,0.5450
-2.4774,-3.7868,0.5478,0.5478
-2.4574,-3.7868,0.5512,0.5512
-2.4374,-3.7868,0.5551,0.5551
-2.4174,-3.7868,0.5597,0.5597
-2.3974,-3.8068,0.5428,0.5428
-2.3774,-3.8068,0.5450,0.5450
-2.3574,-3.8068,0.5478,0.5478
-2.3374,-3.8068,0.5512,0.5512
-2.3174,-3.8068,0.5551,0.5551
-2.2974,-3.8068,0.5597,0.5597
-2.2774,-3.8068,0.5627,0.5627
-2.2574,-3.8268,0.5450,0.5450
-2.2374,-3.8268,0.5478,0.5478
-2.2174,-3.8268,0.5512,0.5512
-2.1974,-3.8268,0.5551,0.5551
-2.1774,-3.8268,0.5597,0.5597
-2.1574,-3.8268,0.5612,0.5612
-2.1374,-3.8268,0.5627,0.5627
-2.1174,-3.8268,0.5648,0.5648
-2.0974,-3.8268,0.5627,0.5627
-2.0774,-3.8268,0.5612,0.5612
-2.0574,-3.8268,0.5603,0.5603
-2.0374,-3.8268,0.5600,0.5600
-2.0174,-3.8468,0.5612,0.5612
-1.9974,-3.8468,0.5627,0.5627
-1.9774,-3.8468,0.5648,0.5648
-1.9574,-3.8468,0.5675,0.5675
-1.9374,-3.8468,0.5648,0.5648
-1.9174,-3.8468,0.5627,0.5627
-1.8974,-3.8668,0.5597,0.5597
-1.8774,-3.8668,0.5612,0.5612
-1.8574,-3.8668,0.5627,0.5627
-1.8374,-3.8668,0.5648,0.5648
-1.8174,-3.8668,0.5675,0.5675
-1.7974,-3.8668,0.5648,0.5648
-1.7774,-3.8868,0.5551,0.5551
-1.7574,-3.8868,0.5597,0.5597
-1.7374,-3.8868,0.5603,0.5603
-1.7174,-3.8868,0.5612,0.5612
-1.6974,-3.8868,0.5627,0.5627
-1.6774,-3.8868,0.5648,0.5648
-1.6574,-3.8868,0.5648,0.5648
