# x_m,y_m,w_tr_right_m,w_tr_left_m
1.6920,-5.7878,0.4657,0.4657
2.5320,-6.1878,0.4600,0.4600
3.4920,-6.1878,0.4727,0.4727
4.4520,-6.1878,0.5000,0.5000
5.4120,-6.1878,0.5512,0.5512
6.3720,-6.1878,0.5400,0.5400
7.3320,-6.0278,0.6376,0.6376
7.4920,-5.0678,0.5400,0.5400
7.0520,-4.2678,0.4381,0.4381
6.4920,-3.4278,0.5800,0.5800
5.9320,-2.7078,0.2200,0.2200
7.2920,-2.1078,0.6343,0.6343
7.4920,-1.1478,0.5800,0.5800
7.4520,-0.1878,0.6200,0.6200
7.4920,0.7722,0.5800,0.5800
7.4120,1.7322,0.6600,0.6600
6.4520,1.9322,0.4261,0.4261
5.4920,1.9322,0.5000,0.5000
4.8120,1.3322,0.4600,0.4600
4.6920,0.3722,0.5400,0.5400
3.7720,0.0522,0.4441,0.4441
2.8120,-0.0678,0.5119,0.5119
2.3320,-0.7878,0.5462,0.5462
2.3320,-1.7478,0.5400,0.5400
1.5320,-2.4678,0.5788,0.5788
1.5320,-3.4278,0.4600,0.4600
