# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.6540,0.1395,0.2622,0.2622
-1.6140,0.1395,0.2600,0.2600
-1.5740,0.1395,0.2600,0.2600
-1.5340,0.1395,0.2600,0.2600
-1.4940,0.1395,0.2600,0.2600
-1.4540,0.0995,0.2600,0.2600
-1.4140,0.0995,0.2600,0.2600
-1.3740,0.0995,0.2622,0.2622
-1.3340,0.0995,0.2688,0.2688
-1.2940,0.0995,0.2795,0.2795
-1.2540,0.0995,0.2795,0.2795
-1.2140,0.0995,0.2688,0.2688
-1.1740,0.0995,0.2622,0.2622
-1.1340,0.0995,0.2600,0.2600
-1.0940,0.0595,0.2600,0.2600
-1.0540,0.0595,0.2600,0.2600
-1.0140,0.0595,0.2622,0.2622
-0.9740,0.0595,0.2688,0.2688
-0.9340,0.0595,0.2795,0.2795
-0.8940,0.0595,0.2940,0.2940
-0.8540,0.0595,0.3000,0.3000
-0.8140,0.0595,0.3000,0.3000
-0.7740,0.0595,0.2940,0.2940
-0.7340,0.0195,0.2600,0.2600
-0.6940,0.0195,0.2622,0.2622
-0.6540,0.0195,0.2688,0.2688
-0.6140,0.0195,0.2795,0.2795
-0.5740,0.0195,0.2940,0.2940
-0.5340,0.0195,0.3000,0.3000
-0.4940,0.0195,0.3000,0.3000
-0.4540,0.0195,0.3000,0.3000
-0.4140,0.0195,0.3000,0.3000
-0.3740,-0.0205,0.2600,0.2600
-0.3340,-0.0205,0.2600,0.2600
-0.2940,-0.0205,0.2600,0.2600
-0.2540,-0.0205,0.2622,0.2622
-0.2140,-0.0205,0.2688,0.2688
-0.1740,-0.0205,0.2795,0.2795
-0.1340,-0.0205,0.2940,0.2940
-0.0940,-0.0205,0.3000,0.3000
-0.0540,-0.0205,0.3000,0.3000
-0.0140,-0.0205,0.3000,0.3000
0.0260,-0.0205,0.3000,0.3000
0.0660,-0.0205,0.3000,0.3000
0.1060,-0.0605,0.2600,0.2600
0.1460,-0.0605,0.2600,0.2600
0.1860,-0.0605,0.2622,0.2622
0.2260,-0.0605,0.2688,0.2688
0.2660,-0.0605,0.2795,0.2795
0.3060,-0.0605,0.2940,0.2940
0.3460,-0.0605,0.3000,0.3000
0.3860,-0.0605,0.3000,0.3000
0.4260,-0.0605,0.3000,0.3000
0.4660,-0.0605,0.3000,0.3000
0.5060,-0.0605,0.3020,0.3020
0.5460,-0.0605,0.3079,0.3079
0.5860,-0.0605,0.3176,0.3176
0.6260,-0.0605,0.3308,0.3308
0.6660,-0.0605,0.3400,0.3400
0.7060,-0.0605,0.3400,0.3400
0.7460,-0.0605,0.3400,0.3400
0.7860,-0.0605,0.3400,0.3400
0.8260,-0.0605,0.3400,0.3400
0.8660,-0.0605,0.3418,0.3418
0.9060,-0.0605,0.3472,0.3472
0.9460,-0.0605,0.3561,0.3561
0.9860,-0.0605,0.3682,0.3682
1.0260,-0.0205,0.4200,0.4200
1.0660,-0.0205,0.4200,0.4200
1.1060,0.0195,0.4600,0.4600
1.1460,0.0595,0.4946,0.4946
1.1860,0.0995,0.4600,0.4600
1.1860,0.1395,0.4600,0.4600
1.2260,0.1795,0.4200,0.4200
1.2260,0.2195,0.4200,0.4200
1.2660,0.2595,0.3817,0.3817
1.3060,0.2995,0.3472,0.3472
1.3060,0.3395,0.3561,0.3561
1.3060,0.3795,0.3682,0.3682
1.3060,0.4195,0.3800,0.3800
1.3060,0.4595,0.3800,0.3800
1.3060,0.4995,0.3682,0.3682
1.3060,0.5395,0.3561,0.3561
1.3460,0.5795,0.3400,0.3400
1.3460,0.6195,0.3418,0.3418
1.3460,0.6595,0.3472,0.3472
1.3460,0.6995,0.3472,0.3472
1.3460,0.7395,0.3418,0.3418
1.3460,0.7795,0.3400,0.3400
1.3460,0.8195,0.3400,0.3400
1.3460,0.8595,0.3400,0.3400
1.3460,0.8995,0.3400,0.3400
1.3460,0.9395,0.3400,0.3400
1.3460,0.9795,0.3400,0.3400
1.3460,1.0195,0.3400,0.3400
1.3460,1.0595,0.3418,0.3418
1.3460,1.0995,0.3472,0.3472
1.3460,1.1395,0.3561,0.3561
1.3460,1.1795,0.3682,0.3682
1.3460,1.2195,0.3833,0.3833
1.3460,1.2595,0.3948,0.3948
1.3860,1.2995,0.3817,0.3817
1.3860,1.3395,0.3866,0.3866
1.3860,1.3795,0.3948,0.3948
1.3860,1.4195,0.4060,0.4060
1.3460,1.4595,0.4571,0.4571
1.3460,1.4995,0.4600,0.4600
1.3460,1.5395,0.4600,0.4600
1.3460,1.5795,0.4600,0.4600
1.3460,1.6195,0.4600,0.4600
1.3060,1.6595,0.5000,0.5000
1.2660,1.6995,0.5000,0.5000
1.2260,1.6995,0.5000,0.5000
1.1860,1.7395,0.4614,0.4614
1.1460,1.7795,0.4261,0.4261
1.1060,1.7795,0.4337,0.4337
1.0660,1.8195,0.4060,0.4060
1.0260,1.8195,0.4200,0.4200
0.9860,1.8195,0.4200,0.4200
0.9460,1.8195,0.4200,0.4200
0.9060,1.8195,0.4200,0.4200
0.8660,1.8595,0.3817,0.3817
0.8260,1.8595,0.3866,0.3866
0.7860,1.8595,0.3948,0.3948
0.7460,1.8595,0.4060,0.4060
0.7060,1.8595,0.3948,0.3948
0.6660,1.8595,0.3833,0.3833
0.6260,1.8595,0.3682,0.3682
0.5860,1.8595,0.3561,0.3561
0.5460,1.8995,0.3800,0.3800
0.5060,1.8995,0.3800,0.3800
0.4660,1.8995,0.3800,0.3800
0.4260,1.8995,0.3800,0.3800
0.3860,1.8995,0.3800,0.3800
0.3460,1.8995,0.3682,0.3682
0.3060,1.8995,0.3561,0.3561
0.2660,1.8995,0.3472,0.3472
0.2260,1.8995,0.3418,0.3418
0.1860,1.9395,0.3800,0.3800
0.1460,1.9395,0.3800,0.3800
0.1060,1.9395,0.3800,0.3800
0.0660,1.9395,0.3800,0.3800
0.0260,1.9395,0.3800,0.3800
-0.0140,1.9395,0.3682,0.3682
-0.0540,1.9395,0.3561,0.3561
-0.0940,1.9395,0.3472,0.3472
-0.1340,1.9395,0.3418,0.3418
-0.1740,1.9395,0.3400,0.3400
-0.2140,1.9795,0.3800,0.3800
-0.2540,1.9795,0.3800,0.3800
-0.2940,1.9795,0.3800,0.3800
-0.3340,1.9795,0.3800,0.3800
-0.3740,1.9795,0.3800,0.3800
-0.4140,1.9795,0.3682,0.3682
-0.4540,1.9795,0.3561,0.3561
-0.4940,1.9795,0.3472,0.3472
-0.5340,1.9795,0.3418,0.3418
-0.5740,1.9795,0.3400,0.3400
-0.6140,2.0195,0.3800,0.3800
-0.6540,2.0195,0.3800,0.3800
-0.6940,2.0195,0.3800,0.3800
-0.7340,2.0195,0.3800,0.3800
-0.7740,2.0195,0.3800,0.3800
-0.8140,2.0195,0.3800,0.3800
-0.8540,2.0195,0.3682,0.3682
-0.8940,2.0195,0.3561,0.3561
-0.9340,2.0195,0.3472,0.3472
-0.9740,2.0595,0.3817,0.3817
-1.0140,2.0595,0.3800,0.3800
-1.0540,2.0595,0.3800,0.3800
-1.0940,2.0595,0.3800,0.3800
-1.1340,2.0595,0.3800,0.3800
