# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2090,2.3928,0.3617,0.3617
-1.2090,2.3728,0.3617,0.3617
-1.2090,2.3528,0.3604,0.3604
-1.2090,2.3328,0.3561,0.3561
-1.2090,2.3128,0.3512,0.3512
-1.1890,2.2928,0.3600,0.3600
-1.1890,2.2728,0.3604,0.3604
-1.1890,2.2528,0.3617,0.3617
-1.1890,2.2328,0.3604,0.3604
-1.1890,2.2128,0.3600,0.3600
-1.1890,2.1928,0.3561,0.3561
-1.1890,2.1728,0.3512,0.3512
-1.1690,2.1528,0.3600,0.3600
-1.1690,2.1328,0.3600,0.3600
-1.1690,2.1128,0.3604,0.3604
-1.1690,2.0928,0.3604,0.3604
-1.1690,2.0728,0.3600,0.3600
-1.1690,2.0528,0.3561,0.3561
-1.1490,2.0328,0.3512,0.3512
-1.1490,2.0128,0.3561,0.3561
-1.1490,1.9928,0.3617,0.3617
-1.1490,1.9728,0.3617,0.3617
-1.1490,1.9528,0.3604,0.3604
-1.1490,1.9328,0.3600,0.3600
-1.1490,1.9128,0.3600,0.3600
-1.1290,1.8928,0.3600,0.3600
-1.1290,1.8728,0.3604,0.3604
-1.1290,1.8528,0.3617,0.3617
-1.1290,1.8328,0.3639,0.3639
-1.1290,1.8128,0.3617,0.3617
-1.1290,1.7928,0.3604,0.3604
-1.1290,1.7728,0.3561,0.3561
-1.1290,1.7528,0.3512,0.3512
-1.1090,1.7328,0.3600,0.3600
-1.1090,1.7128,0.3600,0.3600
-1.1090,1.6928,0.3600,0.3600
-1.1090,1.6728,0.3604,0.3604
-1.1090,1.6528,0.3561,0.3561
-1.0890,1.6328,0.3441,0.3441
-1.0890,1.6128,0.3472,0.3472
-1.0890,1.5928,0.3512,0.3512
-1.0890,1.5728,0.3561,0.3561
-1.0890,1.5528,0.3512,0.3512
-1.0890,1.5328,0.3472,0.3472
-1.0890,1.5128,0.3441,0.3441
-1.0690,1.4928,0.3512,0.3512
-1.0690,1.4728,0.3561,0.3561
-1.0690,1.4528,0.3561,0.3561
-1.0690,1.4328,0.3512,0.3512
-1.0690,1.4128,0.3472,0.3472
-1.0690,1.3928,0.3441,0.3441
-1.0690,1.3728,0.3418,0.3418
-1.0490,1.3528,0.3604,0.3604
-1.0490,1.3328,0.3600,0.3600
-1.0490,1.3128,0.3600,0.3600
-1.0490,1.2928,0.3600,0.3600
-1.0490,1.2728,0.3561,0.3561
-1.0290,1.2528,0.3617,0.3617
-1.0290,1.2328,0.3669,0.3669
-1.0290,1.2128,0.3639,0.3639
-1.0290,1.1928,0.3617,0.3617
