# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.7718,1.7461,0.4385,0.4385
-1.7718,1.7261,0.4337,0.4337
-1.7718,1.7061,0.4295,0.4295
-1.7918,1.6861,0.4441,0.4441
-1.7918,1.6661,0.4385,0.4385
-1.7918,1.6461,0.4337,0.4337
-1.7918,1.6261,0.4295,0.4295
-1.8118,1.6061,0.4459,0.4459
-1.8118,1.5861,0.4433,0.4433
-1.8118,1.5661,0.4415,0.4415
-1.8318,1.5461,0.4604,0.4604
-1.8318,1.5261,0.4600,0.4600
-1.8318,1.5061,0.4600,0.4600
-1.8318,1.4861,0.4600,0.4600
-1.8518,1.4661,0.4800,0.4800
-1.8518,1.4461,0.4800,0.4800
-1.8518,1.4261,0.4800,0.4800
-1.8518,1.4061,0.4800,0.4800
-1.8718,1.3861,0.5000,0.5000
-1.8718,1.3661,0.5003,0.5003
-1.8718,1.3461,0.5013,0.5013
-1.8718,1.3261,0.5030,0.5030
-1.8718,1.3061,0.5053,0.5053
-1.8918,1.2861,0.5280,0.5280
-1.8918,1.2661,0.5315,0.5315
-1.8918,1.2461,0.5356,0.5356
-1.8918,1.2261,0.5403,0.5403
-1.8918,1.2061,0.5456,0.5456
-1.8918,1.1861,0.5515,0.5515
-1.8918,1.1661,0.5579,0.5579
-1.8918,1.1461,0.5648,0.5648
-1.8918,1.1261,0.5723,0.5723
-1.8918,1.1061,0.5803,0.5803
-1.8918,1.0861,0.5888,0.5888
-1.8918,1.0661,0.5905,0.5905
-1.8718,1.0461,0.5888,0.5888
-1.8718,1.0261,0.5977,0.5977
-1.8718,1.0061,0.6026,0.6026
-1.8718,0.9861,0.6011,0.6011
-1.8718,0.9661,0.6003,0.6003
-1.8718,0.9461,0.5986,0.5986
-1.8518,0.9261,0.6139,0.6139
-1.8518,0.9061,0.6088,0.6088
-1.8518,0.8861,0.6034,0.6034
-1.8318,0.8661,0.6181,0.6181
-1.8318,0.8461,0.6139,0.6139
-1.8118,0.8261,0.6280,0.6280
-1.8118,0.8061,0.6211,0.6211
-1.7918,0.7861,0.6335,0.6335
-1.7918,0.7661,0.6250,0.6250
-1.7718,0.7461,0.6354,0.6354
-1.7518,0.7261,0.6467,0.6467
-1.7518,0.7061,0.6400,0.6400
-1.7318,0.6861,0.6515,0.6515
-1.7118,0.6661,0.6603,0.6603
-1.6918,0.6461,0.6694,0.6694
-1.6918,0.6261,0.6603,0.6603
-1.6718,0.6061,0.6694,0.6694
-1.6518,0.5861,0.6782,0.6782
-1.6518,0.5661,0.6694,0.6694
-1.6318,0.5461,0.6782,0.6782
-1.6118,0.5261,0.6871,0.6871
-1.6118,0.5061,0.6782,0.6782
-1.5918,0.4861,0.6871,0.6871
-1.5718,0.4661,0.6962,0.6962
-1.5518,0.4461,0.6965,0.6965
-1.5318,0.4261,0.6932,0.6932
-1.5118,0.4261,0.6940,0.6940
-1.4918,0.4061,0.6965,0.6965
-1.4718,0.3861,0.6965,0.6965
-1.4518,0.3661,0.6940,0.6940
-1.4318,0.3661,0.6932,0.6932
-1.4118,0.3461,0.6992,0.6992
-1.3918,0.3461,0.6882,0.6882
-1.3718,0.3261,0.6932,0.6932
-1.3518,0.3261,0.6823,0.6823
-1.3318,0.3061,0.6889,0.6889
-1.3118,0.3061,0.6790,0.6790
-1.2918,0.3061,0.6694,0.6694
-1.2718,0.3061,0.6603,0.6603
-1.2518,0.2861,0.6694,0.6694
-1.2318,0.2861,0.6603,0.6603
-1.2118,0.2861,0.6515,0.6515
-1.1918,0.2661,0.6616,0.6616
-1.1718,0.2661,0.6539,0.6539
-1.1518,0.2661,0.6467,0.6467
