0.6492280,-5.9842744,4.1592378
0.8421650,-6.0349888,4.1854029
1.0337091,-6.0845482,4.0862593
1.2270361,-6.1329263,3.8682323
1.4192764,-6.1777822,3.6624937
1.6137744,-6.2175679,3.4756088
1.8113518,-6.2498419,3.3081131
2.0074713,-6.2716417,3.1741919
2.2078926,-6.2817376,3.0451918
2.4060937,-6.2782106,2.9162340
2.6054942,-6.2596507,2.7716861
2.8016959,-6.2249426,2.5997452
2.9956125,-6.1719950,2.3909528
3.1790677,-6.0993978,2.1525454
3.3564322,-5.9972509,1.9949305
3.5077099,-5.8664904,1.8907930
3.6216944,-5.7057403,1.8720324
3.6956985,-5.5296641,1.9484723
3.7558653,-5.3467634,2.1442256
3.7905946,-5.1450627,2.2895310
3.7983644,-4.9514914,2.4388551
3.7874933,-4.7499200,2.6131943
3.7639464,-4.5509461,2.8129295
3.7341164,-4.3525981,3.0365791
3.7044419,-4.1562870,3.2675714
3.6803240,-3.9536806,3.1433373
3.6698295,-3.7523966,3.0054670
3.6782450,-3.5602988,2.8516790
3.7056453,-3.3653950,2.7108833
3.7207471,-3.1803813,2.6904427
3.7668755,-2.9839220,2.6758785
3.8448610,-2.7900398,2.6810793
3.9413813,-2.6170906,2.8373771
4.0526220,-2.4479925,3.0130406
4.1673654,-2.2846995,3.2243331
4.2835524,-2.1180188,3.4359106
4.3906742,-1.9557393,3.6429782
4.4930846,-1.7877061,3.8260947
4.5890450,-1.6168715,3.9698961
4.6759100,-1.4431723,3.8692060
4.7560077,-1.2565652,3.7174734
4.8241337,-1.0681911,3.5874739
4.8825029,-0.8754695,3.4680914
4.9311433,-0.6833876,3.3521890
4.9727115,-0.4879112,3.2288314
5.0071317,-0.2936971,3.0963493
5.0349493,-0.0967002,2.9516607
5.0540832,0.1000203,2.7808126
5.0614523,0.3006606,2.6082232
5.0523624,0.5005278,2.4599339
5.0196109,0.7023691,2.3471161
4.9625706,0.8871071,2.2783955
4.8702040,1.0644914,2.2221265
4.7600557,1.2174347,2.1857791
4.6242097,1.3622455,2.1859862
4.4606497,1.4850988,2.2057411
4.2876384,1.5776737,2.2347084
4.0975111,1.6486834,2.2584305
3.9032302,1.6942284,2.2684520
3.7014957,1.7151466,2.2648590
3.5075754,1.7090722,2.2520402
3.3066368,1.6710211,2.2681871
3.1219456,1.6039341,2.3393750
2.9478867,1.5203121,2.4464701
2.7835303,1.4196712,2.5960778
2.6256557,1.2967256,2.7931554
2.4729026,1.1580300,3.0121996
2.3283176,1.0155558,3.2626359
2.1811277,0.8714330,3.4721512
2.0378311,0.7430331,3.5937694
1.8927587,0.6298937,3.5836173
1.7267976,0.5240089,3.6089425
1.5396002,0.4288081,3.6279014
1.3589518,0.3504571,3.7498770
1.1701039,0.2736186,3.8602336
0.9848489,0.1966761,3.9405460
0.7999181,0.1114709,3.8573637
0.6278571,0.0199336,3.6708751
0.4614317,-0.0785028,3.5395982
0.2945959,-0.1775917,3.5405660
0.1257771,-0.2864972,3.5350067
-0.0342919,-0.4062793,3.5283732
-0.1842769,-0.5361621,3.5345090
-0.3275077,-0.6776456,3.5614102
-0.4609525,-0.8254912,3.6313612
-0.5884726,-0.9801268,3.7413864
-0.7094863,-1.1370811,3.8697879
-0.8278833,-1.2983933,4.0055114
-0.9421938,-1.4619907,4.1358853
-1.0506543,-1.6269104,4.2599753
-1.1535366,-1.7958850,4.3751167
-1.2505129,-1.9694612,4.3584167
-1.3411210,-2.1451527,4.2216338
-1.4264339,-2.3238062,4.0506112
-1.5066939,-2.5072005,3.8916444
-1.5789110,-2.6908519,3.7473500
-1.6435676,-2.8784120,3.6117348
-1.7001851,-3.0719647,3.4813604
-1.7457944,-3.2641494,3.3598883
-1.7811009,-3.4615425,3.2397219
-1.8039540,-3.6594291,3.1220667
-1.8130326,-3.8601306,2.9973603
-1.8065722,-4.0568271,2.8682191
-1.7814825,-4.2583010,2.7053260
-1.7353511,-4.4520359,2.6166953
-1.6666262,-4.6352199,2.6270388
-1.5747310,-4.8095215,2.6364798
-1.4635115,-4.9741774,2.6458175
-1.3363687,-5.1248607,2.6528136
-1.1931204,-5.2591309,2.6485929
-1.0316515,-5.3763977,2.7147593
-0.8562530,-5.4763741,2.8425172
-0.6775976,-5.5602838,3.0286743
-0.4922912,-5.6359994,3.2043788
-0.3051689,-5.7046918,3.3678593
-0.1154897,-5.7677108,3.5252014
0.0744743,-5.8257141,3.6812561
0.2665098,-5.8807411,3.8388523
0.4584748,-5.9333698,3.9117716
0.6492280,-5.9842744,4.1592378
